-3, -21, -19, 9, -2, 0, -15, -28
-4, -48, 16, -2, -3, -2, -3, 12
-5, -33, -4, -2, 0, 1, 3, -16
0, -2, -39, -12, -11, 1, 0, -2
-1, -3, 26, -10, 5, 2, -1, -10
-1, -54, 21, 13, 21, 8, 2, -2
-4, 23, 13, 17, 14, 6, 2, 8
0, -1, 7, 8, 1, 0, -4, -3
9, 53, -2, 10, 1, 2, 1, -1
-13, -18, -13, -17, -8, -3, -4, -2
2, -10, 8, 8, 2, -1, -1, 2
-12, -13, 5, 27, 13, 1, -2, 1
5, 80, 25, 28, 15, 6, 3, 4
-1, -9, -3, 2, 2, -1, -1, -7
5, 28, 5, -13, -2, 0, 0, 2
0, -3, -22, -25, -7, 0, -1, 2
-7, -33, -53, 7, 2, 1, -2, -4
-3, 14, -16, 6, -2, 1, 1, 5
-3, -38, 1, 7, 4, 0, 0, 5
-1, -5, -12, -46, -16, -2, -3, -12
3, -29, 5, -2, -2, -1, 2, 3
4, -8, 7, 7, -1, 1, -3, 2
-12, -5, -1, 17, 2, 0, 0, 1
-2, -1, 24, 3, -1, -3, -3, 5
-12, -16, 2, 18, 6, -1, 5, 12
-3, 1, -4, -6, -4, -3, -1, -9
7, 22, 12, 12, 2, 1, 0, 11
-1, -14, -10, 0, -3, -3, -3, 3
0, -1, -10, 4, 3, 0, 0, 8
3, 8, 5, -3, -5, -1, -1, 4
8, 18, -4, -11, -5, 1, 0, 6
-10, -58, -37, -23, -16, -5, -4, -7
10, 43, -10, 17, 7, 0, -2, -21
14, -1, -4, 21, 7, 4, 2, -1
-1, -2, -14, 4, 14, 0, 2, 24
21, 15, 15, 16, 9, 3, 2, 11
9, 36, 61, 20, 8, 4, 6, 38
3, -8, 25, 1, 5, 4, 4, 10
21, 12, 0, -2, -6, -6, -9, -27
-1, -11, -10, -5, 16, 0, 0, 1
-4, 3, 0, -2, 7, 5, 3, -2
-8, -11, -42, -14, -8, -2, 1, -4
-4, -21, -9, 1, -2, 2, 11, 16
-11, -76, 7, 11, -1, -3, -4, -4
10, 13, -2, 15, 1, -2, 0, 21
1, -29, 4, 1, 0, 0, 1, 3
-2, 2, -57, -16, 0, 0, -1, -12
-1, -28, 5, -2, 1, -3, -1, -3
0, -1, 19, -5, -3, -1, 2, 9
-5, -28, -21, -7, 1, -2, -2, 1
5, 13, 30, 6, 0, -1, -1, -5
-1, 0, 8, -5, -1, 0, -2, 11
1, 33, 28, -12, -3, -1, -1, 6
-6, -7, -2, 4, 0, -2, -2, -16
3, 1, -7, 2, 1, -1, 1, 9
-2, 5, 7, -4, -2, 0, 4, 1
0, 3, 39, 17, 1, 2, 5, -5
6, 7, -2, 3, -1, -2, -2, -3
-1, 1, 3, -5, 0, 0, 0, 1
-2, 2, -21, -3, -2, 1, -1, -3
11, -4, 16, 0, 0, 0, 1, -1
-5, -5, 0, -3, -2, -2, 0, -11
1, -9, 8, 4, 0, 0, -2, 5
0, 5, -3, 0, -3, 1, 1, 3
-4, -16, -8, 3, -3, -2, 2, -1
-1, -3, 5, 4, 2, 1, -1, -7
3, 20, 8, 2, -1, 2, 3, 5
0, 3, -1, -2, -2, 0, -1, -6
0, 17, 38, 5, -2, -1, 2, 4
0, 8, 18, -10, -3, 1, 6, -1
1, 10, 33, 13, -2, -2, -2, 1
4, 26, 7, -16, 2, 1, 3, -4
-3, 4, -23, 6, -1, 2, 0, -9
4, -15, 1, 7, -2, -2, -1, -2
2, -10, -35, 16, 2, -2, 4, -10
-1, -3, -12, 3, 0, 0, -1, 1
-12, 9, 7, -7, -8, -3, 0, -17
3, -16, 29, 9, 1, -1, 2, -1
8, -2, -42, 70, 17, -3, -2, -4
0, -6, 4, -3, 0, -1, 1, 15
6, 18, -14, 13, 6, 1, -1, -3
5, -6, -20, -4, -8, -3, 11, 9
-8, -61, -16, -16, -6, -3, 2, 5
-6, 23, 11, -27, -7, -4, -1, 3
-3, -34, -21, -36, 4, 0, -3, -6
